ID	Description	Type

Fault Originator:
BGM Software	Fault
213143	In the process of dosimetry failure detection testing (CalCheck), BGM Software detected that the BGM FPGA fail to assert interlock.

Test Step: Primary Charge rate Above Limit

Expected Interlock: Primary Charge rate Above Limit Interlock

Fault Originator:
BGM Software	Fault
213144	In the process of dosimetry failure detection testing (CalCheck) to verify that the BGM FPGA will terminate the beam when secondary charge rate exceed limit, BGM Software detected that the BGM FPGA incorrectly stop the beam while the secondary charge rate still within limit.

Fault Originator:
BGM Software	Fault
213145	In the process of dosimetry failure detection testing (CalCheck), BGM Software detected that the BGM FPGA fail to assert interlock.

Test Step: Secondary Charge rate Above Limit

Expected Interlock: Secondary Charge rate Above Limit Interlock

Fault Originator:
BGM Software	Fault
213146	In the process of dosimetry failure detection testing (CalCheck), BGM Software detected that the BGM FPGA fail to assert interlock.

Test Step: Symmetry AR Under Limit

Expected Interlock: Symmetry AR Under Limit Interlock

Fault Originator:
BGM Software	Fault
213147	In the process of dosimetry failure detection testing (CalCheck), BGM Software detected that the BGM FPGA fail to assert interlock.

Test Step: Symmetry AR Above Limit

Expected Interlock: Symmetry AR Above Limit Interlock

Fault Originator:
BGM Software	Fault
213148	In the process of dosimetry failure detection testing (CalCheck), BGM Software detected that the BGM FPGA fail to assert interlock.

Test Step: Symmetry AT Under Limit

Expected Interlock: Symmetry AT Under Limit Interlock

Fault Originator:
BGM Software	Fault
213149	In the process of dosimetry failure detection testing (CalCheck), BGM Software detected that the BGM FPGA fail to assert interlock.

Test Step: Symmetry AT Above Limit

Expected Interlock: Symmetry AT Above Limit Interlock

Fault Originator:
BGM Software	Fault
213150	In the process of dosimetry failure detection testing (CalCheck), BGM Software detected that the BGM FPGA fail to assert interlock.

Test Step: Symmetry PR Under Limit

Expected Interlock: Symmetry PR Under Limit Interlock

Fault Originator:
BGM Software	Fault
213151	In the process of dosimetry failure detection testing (CalCheck), BGM Software detected that the BGM FPGA fail to assert interlock.

Test Step: Symmetry PR Above Limit

Expected Interlock: Symmetry PR Above Limit Interlock

Fault Originator:
BGM Software	Fault
213152	In the process of dosimetry failure detection testing (CalCheck), BGM Software detected that the BGM FPGA fail to assert interlock.

Test Step: Symmetry PT Under Limit

Expected Interlock: Symmetry PT Under Limit Interlock

Fault Originator:
BGM Software	Fault
213153	In the process of dosimetry failure detection testing (CalCheck), BGM Software detected that the BGM FPGA fail to assert interlock.

Test Step: Symmetry PT Above Limit

Expected Interlock: Symmetry PT Above Limit Interlock

Fault Originator:
BGM Software	Fault
213162	In the process of dosimetry failure detection testing (CalCheck), BGM Software detected that the BGM FPGA fail to assert interlock.

Test Step: X-Ray Target 1 Under Limit

Expected Interlock: X-Ray Target 1 Under Limit Interlock

Fault Originator:
BGM Software	Fault
213163	CalCheck: In test of X-Ray Target 1 Above Limit interlock, FPGA failed to assert interlock.	Fault
213164	In the process of dosimetry failure detection testing (CalCheck), BGM Software detected that the BGM FPGA fail to assert interlock.

Test Step: X-Ray Target 2 Under Limit

Expected Interlock: X-Ray Target 2 Under Limit Interlock

Fault Originator:
BGM Software	Fault
213165	CalCheck: FPGA failed to assert interlock in X-Ray Target 2 Above Limit Interlock Test.	Fault
213166	In the process of dosimetry failure detection testing (CalCheck) to verify that the BGM FPGA will terminate the beam when primary Charge per pulse exceed limit, BGM Software detected that the BGM FPGA incorrectly stop the beam while the primary charge per pulse still within limit.

Fault Originator:
BGM Software	Fault
213167	In the process of dosimetry failure detection testing (CalCheck) to verify that the BGM FPGA will terminate the beam when secondary Charge per pulse exceed limit, BGM Software detected that the BGM FPGA incorrectly stop the beam while the secondary charge per pulse still within limit.

Fault Originator:
BGM Software	Fault
213168	In the process of dosimetry failure detection testing (CalCheck) to verify that the BGM FPGA will terminate the beam when beam symmetry deviate beyond limit, BGM Software detected that the BGM FPGA incorrectly stop the beam while the symmetry error still within limit.

Fault Originator:
BGM Software	Fault
213170	In the process of dosimetry failure detection testing (CalCheck) to verify that the BGM FPGA will terminate the beam when target current 1 or 2 exceed limit, BGM Software detected that the BGM FPGA incorrectly stop the beam while the target current still within limit.

Fault Originator:
BGM Software	Fault
213171	In the process of dosimetry failure detection testing (CalCheck) to verify that the BGM FPGA will terminate the beam when accumulate charge 1 are greater than accumulate charge 2, BGM Software detected that the BGM FPGA incorrectly stop the beam while the different still within the limit.

Fault Originator:
BGM Software	Fault
213172	In the process of dosimetry failure detection testing (CalCheck), BGM Software detected that the BGM FPGA fail to assert interlock.

Test Step: Beam off on Dose Difference greater than limit

Expected Interlock: Beam off on Dose Difference greater than limit Interlock

Fault Originator:
BGM Software	Fault
213175	In the process of Ion Chamber Signal verification (CalCheck  Capacity Test), BGM Software detected that the BGM FPGA fail to assert interlock when the Ion Chamber power supply is reduced. (Monitor at the supply)

Fault Originator:
BGM software	Fault
213176	In the process of Ion Chamber Signal verification (CalCheck  Capacity Test), BGM Software detected that the BGM FPGA fail to assert interlock when the Ion Chamber power supply is reduced. (Monitor at the return)

Fault Originator:
BGM software	Fault
213177	CalCheck failed to execute because FPGA interlock was overridden.	Fault
213178	CalCheck OAI R under limit interlock test failed
	Fault
213179	CalCheck OAI R above limit interlock test failed
	Fault
213180	CalCheck OAI T under limit interlock test failed
	Fault
213181	CalCheck OAI T above limit interlock test failed
	Fault
213182	CalCheck OAI within limit interlock test failed
	Fault
213200	CAL/CHECK: Normal Beam Test, Ion Charge A value under expected value	Fault
213201	CAL/CHECK: Normal Beam Test, Ion Charge B value under expected value	Fault
213202	CAL/CHECK: Normal Beam Test, Ion Charge C value under expected value	Fault
213203	CAL/CHECK: Normal Beam Test, Ion Charge D value under expected value	Fault
213204	CAL/CHECK: Normal Beam Test, Ion Charge E value under expected value	Fault
213205	CAL/CHECK: Normal Beam Test, Ion Charge F value under expected value	Fault
213206	CAL/CHECK: Normal Beam Test, Ion Charge G value under expected value	Fault
213207	CAL/CHECK: Normal Beam Test, Ion Charge H value under expected value	Fault
213208	CAL/CHECK: Normal Beam Test, Ion Charge I value under expected value	Fault
213209	CAL/CHECK: Normal Beam Test, Ion Charge J value under expected value	Fault
213220	CAL/CHECK: Normal Beam Test, Ion Charge A value over expected value	Fault
213221	CAL/CHECK: Normal Beam Test, Ion Charge B value over expected value	Fault
213222	CAL/CHECK: Normal Beam Test, Ion Charge C value over expected value	Fault
213223	CAL/CHECK: Normal Beam Test, Ion Charge D value over expected value	Fault
213224	CAL/CHECK: Normal Beam Test, Ion Charge E value over expected value	Fault
213225	CAL/CHECK: Normal Beam Test, Ion Charge F value over expected value	Fault
213226	CAL/CHECK: Normal Beam Test, Ion Charge G value over expected value	Fault
213227	CAL/CHECK: Normal Beam Test, Ion Charge H value over expected value	Fault
213228	CAL/CHECK: Normal Beam Test, Ion Charge I value over expected value	Fault
213229	CAL/CHECK: Normal Beam Test, Ion Charge J value over expected value	Fault
213240	CAL/CHECK: Normal Beam Test, Ion Charge A/B ratio out of range: A={0}, B={1}	Fault
213241	CAL/CHECK: Normal Beam Test, Ion Charge C/D ratio out of range: C={0}, D={1}	Fault
213242	CAL/CHECK: Normal Beam Test, Ion Charge E/F ratio out of range: E={0}, F={1}	Fault
213243	CAL/CHECK: Normal Beam Test, Ion Charge G/H ratio out of range: G={0}, H={1}	Fault
213244	CAL/CHECK: Normal Beam Test, Target Charge 1 and 2 ratio out of range: Target 1={0}, Target 2={1}	Fault
213250	CAL/CHECK: Primary Charge rate Below expected value	Fault
213251	CAL/CHECK: Primary Charge rate Above expected value	Fault
213252	CAL/CHECK: Secondary Charge rate Below expected value	Fault
213253	CAL/CHECK: Secondary Charge rate Above expected value	Fault
213310	CAL/CHECK: Leakage Current Test, primary charge per pulse {0} exceeds limit {1}	Fault
213311	CAL/CHECK: Leakage Current Test, secondary charge per pulse {0} exceeds limit {1}	Fault
213340	CalCheck Unintended beam pulse interlock test failed.	Fault
213341	CalCheck Unintended beam pulse failed. Interlock asserted while the beam pulse is within limit.	Fault
214100	During mode up, Beam Generation subsystem cannot program the value of Beam Pulse Cycle Time or the value of Beam Pulse Cycle time has corrupted after it has been programmed.

The actual value is {0}s
Programmed value is {1}s

Fault Originator:
BGM Software	Fault
214102	During mode up, Beam Generation subsystem cannot reset Beam Pulse to zero.

The actual value is {0} counts
Programmed value is {1} counts

Fault Originator:
BGM software	Fault
214103	During mode up, Beam Generation subsystem cannot enable the Ion Chamber 500V power supply.

The actual state is {0}
Programmed state is {1}

Where
0 = Disable
1 = Enable

Fault Originator:
BGM software	Fault
214700	The value of Ion Chamber Plate A Hardware Scale set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214701	The value of Ion Chamber Plate B Hardware Scale set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214702	The value of Ion Chamber Plate C Hardware Scale set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214703	The value of Ion Chamber Plate D Hardware Scale set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214704	The value of Ion Chamber Plate E Hardware Scale set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214705	The value of Ion Chamber Plate F Hardware Scale set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214706	The value of Ion Chamber Plate G Hardware Scale set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214707	The value of Ion Chamber Plate H Hardware Scale set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214708	The value of Ion Chamber Plate I Hardware Scale set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214709	The value of Ion Chamber Plate J Hardware Scale set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214710	The value of Target Current ADC 1 Hardware Scale set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214711	The value of Target Current ADC 2 Hardware Scale set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214800	The value of Charge 12 Difference Divisor Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214801	The value of Charge 12 Difference Percent Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214802	The value of Accumulate Primary Charge Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214803	The value of Accumulate Secondary Charge Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214804	The value of Primary Chargerate Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214805	The value of Secondary Chargerate Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214806	The value of Symmetry Angle R Divisor Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214807	The value of Symmetry Angle T Divisor Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214808	The value of Symmetry Position R Divisor Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214809	The value of Symmetry Position T Divisor Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214814	The value of Symmetry Angle R Gain Factor set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214815	The value of Symmetry Angle T Gain Factor set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214816	The value of Symmetry Position R Gain Factor set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214817	The value of Symmetry Position T Gain Factor set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214822	The value of Charge Difference Gain Factor set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214850	The value of OAI R Divisor Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214851	The value of OAI T Divisor Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214852	The value of OAI R Gain set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214853	The value of OAI T Gain set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214900	The value of Symmetry AR Lower Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214901	The value of Symmetry AR Upper Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214902	The value of Symmetry AT Lower Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214903	The value of Symmetry AT Upper Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214904	The value of Symmetry PR Lower Limit set to the BGM FPGA is corrupted.


The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214905	The value of Symmetry PR Upper Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214906	The value of Symmetry PT Lower Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214907	The value of Symmetry PT Upper Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214916	The value of Primary Charge Per Pulse Lower Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214917	The value of Primary Charge Per Pulse Upper Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214918	The value of Secondary Charge Per Pulse Lower Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214919	The value of Secondary Charge Per Pulse Upper Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214920	The value of X-ray Target ADC 1 Lower Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214921	The value of X-ray Target ADC 1 Upper Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214922	The value of X-ray Target ADC 2 Lower Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214923	The value of X-ray Target ADC 2 Upper Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214950	The value of OAI R Lower Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214951	The value of OAI R Upper Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214952	The value of OAI T Lower Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
214953	The value of OAI T Upper Limit set to the BGM FPGA is corrupted.

The actual value is {0}
Programmed value is {1}

Fault Originator:
BGM software	Fault
221000	 Interlock loop impact read read from the FPGA does not match the defined nodes in the interface file. 	Fault
221001	 Interlock overridable state read from the FPGA does not match.	Fault
221002	HSSB interlock bit has been set without any corresponding
local interlocks being asserted.	Fault
221003	The node software did not create the expected set of events relating to either faults or interlocks.	Fault
251118	BGM software failed to issue a Beam On command before the next beam pulse occurred.	Fault
251119	BGM Software failed to reset the watchdog within 100 ms.	Fault
251120	Previous pulse not finished when it is time to start next pulse. Fault Originator: BGM controller application FPGA. 	Fault
251121	BGM Software failed to issue a Beam On command before the next beam pulse. 	Fault
251122	AD conversion of ion signals was not completed before next beam pulse.	Fault
251123	AD conversion section did not complete in time.	Fault
251124	AD conversion did not complete within 15 us.	Fault
251126	Interval between two sync pulses is less than 9 ms; should be 10 ms.	Fault
251127	Interval between two sync pulses is greater than 11 ms (indicating two pulses missed in a row).	Fault
251128	Unintended output is detected between scheduled beam pulses by BGM Controller FPGA	Fault
251219	The 500V power supply to the Ion Chamber is below operational range.	Fault
251220	The 500V power supply to the Ion Chamber is above operational range.	Fault
251221	The 500V power supply to the Ion Chamber is below operational range.	Fault
251222	The 500V power supply to the Ion Chamber is above operational range.	Fault
251227	During Beam On, a secondary check detected that Accumulated Primary Charge had reached its limit.  It is expected that the primary check will detect this first.

Do not perform further treatments until the accelerator has been checked by qualified service personnel. 	Fault
251228	During Beam On, a secondary check detected that Accumulated Secondary Charge had reached its limit.  It is expected that the primary check will detect this first.

Do not perform further treatments until the accelerator has been checked by qualified service personnel. 	Fault
251229	During Beam On, a secondary check detected that primary dose rate exceed limit.	Fault
251230	During Beam On, a secondary check detected that secondary dose rate exceed limit	Fault
251231	BGM Microblaze Firmware generated Filled-in heartbeat	Fault
251300	Target Current measured on ADC channel 1 is lower than the limit.	Fault
251301	Target Current measured on ADC channel 1 is greater than the limit.	Fault
251302	Target Current measured on ADC channel 2 is lower than the limit.	Fault
251303	Target Current measured on ADC channel 2 is greater than the limit.	Fault
251304	Primary Charge per Pulse is lower than the limit.	Fault
251305	Primary Charge per Pulse is greater than the limit.	Fault
251306	Secondary Charge per Pulse is lower than the limit.	Fault
251307	Secondary Charge per Pulse is greater than the limit.	Fault
251312	Symmetry AR is lower than the limit.	Fault
251313	Symmetry AR is greater than the limit.	Fault
251314	Symmetry AT is lower than the limit.	Fault
251315	Symmetry AT is greater than the limit.	Fault
251316	Symmetry PR is lower than the limit.	Fault
251317	Symmetry PR is greater than the limit.	Fault
251318	Symmetry PT is lower than the limit.	Fault
251319	Symmetry PT is greater than the limit.	Fault
251320	Radial Off-Axis intensity (OAI R) is lower than the limit.	Fault
251321	Radial Off-Axis intensity (OAI R) is greater than the limit.	Fault
251322	Transverse Off-Axis intensity (OAI T) is lower than the limit.	Fault
251323	Transverse Off-Axis intensity (OAI T) is greater than the limit.	Fault
251328	The difference between the accumulated primary charge and accumulated secondary charge is lower than limit.	Fault
251329	The difference between the accumulated primary charge and accumulated secondary charge is greater than limit.	Fault
251330	FPGA IL: ADC data sequence number out of order, [16:17] - Good sequence number, [0:1] - Bad sequence number: {0}, [0:11]  - Each bit corresponding to a sequence fault for ION_OFFSET[0:9] and XTARG_OFFSET[0:1]: {1}	Fault
251400	Ion Chamber 2.5V reference voltage of the first ADC is below the limit, Raw Value: {0}, Raw Limit: {1}.	Fault
251401	Ion Chamber 2.5V reference voltage of the first ADC rise above limit, Raw Value: {0}, Raw Limit: {1}

This fault is detected by BGM FPGA MB.	Fault
251402	Ion Chamber 2.5V reference voltage of the second ADC fall below limit, Raw Value: {0}, Raw Limit: {1}.
	Fault
251403	Ion Chamber 2.5V reference voltage of the second ADC rise above limit, Raw Value: {0}, Raw Limit: {1}

This fault is detected by BGM FPGA MB.	Fault
251404	AFC Motor Power Analog +9V fall above limit, Raw Value: {0}, Raw Limit: {1}.
	Fault
251405	AFC Motor Power Analog +9V rise above limit, Raw Value: {0}, Raw Limit: {1}.

	Fault
251406	FPGA Power Digital +1.2V voltage fall below limit, Raw Value: {0}, Raw Limit: {1}

This fault is detected by BGM FPGA MB.	Fault
251407	FPGA Power Digital +1.2V voltage rise above limit, Raw Value: {0}, Raw Limit: {1}.

	Fault
251408	FPGA Power Digital +3.3V voltage fall below limit, Raw Value: {0}, Raw Limit: {1}.

	Fault
251409	FPGA Power Digital +3.3V voltage rise above limit, Raw Value: {0}, Raw Limit: {1}.

	Fault
251410	Ion Charge Integrator Power Analog -11V fall below limit, Raw Value: {0}, Raw Limit: {1}.

	Fault
251411	Ion Charge Integrator Power Analog -11V rise above limit, Raw Value: {0}, Raw Limit: {1}

This fault is detected by BGM FPGA MB.	Fault
251412	On Board General Analog -5V fall below limit, Raw Value: {0}, Raw Limit: {1}.

	Fault
251413	On Board General Analog -5V rise above limit, Raw Value: {0}, Raw Limit: {1}

This fault is detected by BGM FPGA MB.	Fault
251414	BGM Controller PCB Temperature fall below limit, Raw Value: {0}, Raw Limit: {1}

This fault is detected by BGM FPGA MB.	Fault
251415	BGM Controller PCB Temperature rise above limit, Raw Value: {0}, Raw Limit: {1}.

	Fault
251416	On Board General Analog +5V fall below limit, Raw Value: {0}, Raw Limit: {1}.

	Fault
251417	On Board General Analog +5V rise above limit, Raw Value: {0}, Raw Limit: {1}

This fault is detected by BGM FPGA MB.	Fault
251418	On Board General Analog -12V fall below limit, Raw Value: {0}, Raw Limit: {1}.

	Fault
251419	On Board General Analog -12V rise above limit, Raw Value: {0}, Raw Limit: {1}

This fault is detected by BGM FPGA MB.	Fault
251420	Ion Charge Integrator Power Analog -5V fall below limit, Raw Value: {0}, Raw Limit: {1}.

	Fault
251421	Ion Charge Integrator Power Analog -5V rise above limit, Raw Value: {0}, Raw Limit: {1}

This fault is detected by BGM FPGA MB.	Fault
251422	On Board General Analog +12V fall below limit, Raw Value: {0}, Raw Limit: {1}.

	Fault
251423	On Board General Analog +12V rise above limit, Raw Value: {0}, Raw Limit: {1}

This fault is detected by BGM FPGA MB.	Fault
251424	On Board General Analog +1.25V fall below limit, Raw Value: {0}, Raw Limit: {1}.

	Fault
251425	On Board General Analog +1.25V rise above limit, Raw Value: {0}, Raw Limit: {1}

This fault is detected by BGM FPGA MB.	Fault
251426	On Board General Analog +3V fall below limit, Raw Value: {0}, Raw Limit: {1}.

	Fault
251427	On Board General Analog +3V rise above limit, Raw Value: {0}, Raw Limit: {1}

This fault is detected by BGM FPGA MB.	Fault
251428	Ion Charge Integrator Power Analog +5V fall below limit, Raw Value: {0}, Raw Limit: {1}.

	Fault
251429	Ion Charge Integrator Power Analog +5V rise above limit, Raw Value: {0}, Raw Limit: {1}

This fault is detected by BGM FPGA MB.	Fault
251430	On Board General Power Digital +5V fall below limit, Raw Value: {0}, Raw Limit: {1}.

	Fault
251431	On Board General Power Digital +5V rise above limit, Raw Value: {0}, Raw Limit: {1}

This fault is detected by BGM FPGA MB.	Fault
251432	Blade Motor Power Analog +9V fall below limit, Raw Value: {0}, Raw Limit: {1}.	Fault
251433	Blade Motor Power Analog +9V rise above limit, Raw Value: {0}, Raw Limit: {1}.	Fault
251434	Blade AUX Power Analog +9V fall below limit, Raw Value: {0}, Raw Limit: {1}.	Fault
251435	Blade Motor Power Analog +9V rise above limit, Raw Value: {0}, Raw Limit: {1}.	Fault
251500	SF6 gas pressure fall below limit, Raw Value: {0}, Raw Limit: {1}.
	Fault
251501	SF6 gas pressure rise above limit, Raw Value: {0}, Raw Limit: {1}.
	Fault
251600	The Vacion pump power is enabled, but the voltage is zero volt.	Fault
251601	The motor encoder power is enable, but the voltage is zero volt.	Fault
251602	The SF6 sensor power is enable, but the voltage is zero volt.	Fault
251603	The flow sensor power is enable, but the voltage is zero volt.	Fault
251604	24 V Power failure is detected on the modulator I/O port.	Fault
251605	The Controller Application FPGA or hardwired FPGA oscillator crystal has failed.	Fault
251606	The SPI bus 1 between the Controller Application FPGA and the controller hardwired FPGA has failed.	Fault
251608	HV status from SSMM is not active during beam-on	Fault
251611	Error is detected on Link 1 HSSB	Fault
251613	 Jumper is installed on the BGM Controller PCB at J110.	Fault
251614	5V power supply to the kV Blade Y1, Y2 secondary linear encoder has failed.	Fault
251615	5V power supply to the kV Blade X1, X2 and Shape secondary linear encoder has failed.	Fault
252100	The magnetron filament read back does not match the programmed value	Fault
252101	Magnetron Filament Current deviate beyond expected range	Fault
252103	Pulse transformer tank temperature greater than limit	Fault
252104	Unexpected Reserve fault is raised (Modulator Interlock 1, Bit 4)	Fault
252105	Unexpected Reserve fault is raised (Modulator Interlock 1, Bit 5)	Fault
252106	Unexpected Customer Interface Standby Interlock signal via I/O port pin 4	Fault
252201	Modulator failed to received message from BGM Software	Fault
252203	Unexpected Customer Interface HV Interlock via I/O port pin 6	Fault
252204	Modulator Capacitor charging power supply failed to charge up.	Fault
252205	Modulator Capacitor charging power supply over charge beyond limit	Fault
252206	Modulator Capacitor charging power supply Over current	Fault
252207	Modulator Capacitor charging power supply overheat	Fault
252208	Modulator insulated-gate bipolar transistor error	Fault
252209	Unexpected Reserve fault is raised (Modulator Interlock 2, Bit 9)	Fault
252210	Unexpected Reserve fault is raised (Modulator Interlock 2, Bit 10)	Fault
252302	Modulator has detected that the pulse frequency is too high.	Fault
252303	Too many arcs have occurred in a one second period.	Fault
252304	Too many arcs have occurred in a one hour period.	Fault
252305	Too many arcs have occurred consecutively.	Fault
252306	Modulator Bias Power Supply unit failed.	Fault
252308	Unexpected Customer Interface Trig Interlock via I/O port pin 8	Fault
252309	Average power input into magnetron is higher than limit allowed	Fault
253100	Difference between primary and secondary position of {0} exceeded maximum deviation of {1}	Fault
253102	Primary position deviation of {0} while moving exceeded maximum deviation of {1}.	Fault
253103	Primary position drifting of {0} while holding position exceeded maximum drift of {1}.	Fault
253104	Timed out while setting motor to poweroff state.	Fault
253105	Timed out while setting motor to ready state.	Fault
253106	Timed out while setting motor to moving state.	Fault
253107	Motor drive overloaded (current = {0}  max current = {1}. Do not override.	Fault
253108	Commanded position {0} exceeds max position {1}	Fault
253109	Commanded position {0} exceeds min position {1}	Fault
253113	Secondary position deviation of {0} while moving exceeded maximum deviation of {1}.	Fault
253114	Secondary position drifting of {0} while holding position exceeded maximum drift of {1}.	Fault
253115	Timed out after {0}ms while settling at final position	Fault
253116	Primary and secondary position moving to opposite direction: primary position changed {0} Revolution and secondary position changed {1} Revolution	Fault
253118	Primary position stuck: Commanded position changed {0} Revolution but primary position only changed {1} Revolution	Fault
253119	Secondary position stuck: Commanded position changed {0} Revolution but secondary position only changed {1} Revolution	Fault
253124	AFC Motor: Commanded velocity at position {0} is above allowed value of maximum {1} + overshoot	Fault
253125	The commanded acceleration at position {0} exceeded the maximum acceleration {1} with overshoot.	Fault
253126	The commanded deceleration at position {0} exceeded the maximum deceleration {1} with overshoot.	Fault
253150	Initialization failed.  	Fault
253151	Initialization failed.  	Fault
253152	Initialization failed.  	Fault
253153	Initialization failed.  	Fault
253154	Initialization failed.  	Fault
253155	Initialization failed.  	Fault
253156	Initialization failed.  	Fault
253160	Encoder {0} CRC mismatch on AFC Motor axis.	Fault
253200	Difference between primary and secondary position of {0:F3}cm exceeded threshold of {1:F3}cm.	Fault
253202	Primary position deviation of {0:F3}cm while moving exceeded threshold {1:F3}cm.	Fault
253203	Primary position drift of {0:F3}cm while holding position exceeded threshold {1:F3}cm.	Fault
253204	Timed out while setting motor to poweroff state.	Fault
253205	Timed out while setting motor to ready state (servos engaged without moving).	Fault
253206	Timed out while setting motor to moving state.	Fault
